"","cluster","NSES_VARS","theta_kj","NSES_group","cluster_size"
"80",5,"SNAP benefits",0.72165117060241,"Economic security","Profile 5 (n =109)"
"81",5,"Owner-occupied housing",0.990085887228916,"Housing conditions and resources","Profile 5 (n =109)"
"82",5,"Renter-occupied housing",0.00961951947973494,"Housing conditions and resources","Profile 5 (n =109)"
"83",5,"No vehicle",0.301607597108434,"Housing conditions and resources","Profile 5 (n =109)"
"84",5,"Hispanic/Latino",0.684664965783133,"Sociocultural diversity","Profile 5 (n =109)"
"85",5,"NH Black",0.581802220240964,"Sociocultural diversity","Profile 5 (n =109)"
"86",5,"NH Asian",0.47778410626506,"Sociocultural diversity","Profile 5 (n =109)"
"87",5,"Crowded housing",0.503213907710843,"Housing conditions and resources","Profile 5 (n =109)"
"88",5,"Below 150% poverty",0.515809874891566,"Economic security","Profile 5 (n =109)"
"89",5,"Working class",0.790407914939759,"Economic security","Profile 5 (n =109)"
"90",5,"Lack complete plumbing",0.21369178653012,"Housing conditions and resources","Profile 5 (n =109)"
"91",6,"Median income",0.141348524814458,"Economic security","Profile 7 (n =87)"
"92",6,"Female household",0.47409586313253,"Economic security","Profile 7 (n =87)"
"93",6,"< HS",0.159428442057831,"Educational attainment","Profile 7 (n =87)"
"94",6," >= HS",0.598675772361446,"Educational attainment","Profile 7 (n =87)"
"95",6," >= Bacherlors",0.382277422168675,"Educational attainment","Profile 7 (n =87)"
"96",6,"Limited EN Proficiency",0.171240024771084,"Sociocultural diversity","Profile 7 (n =87)"
"97",6,"Unemployment",0.463869177590361,"Economic security","Profile 7 (n =87)"
"98",6,"SNAP benefits",0.607436281108434,"Economic security","Profile 7 (n =87)"
"99",6,"Owner-occupied housing",0.988263645301205,"Housing conditions and resources","Profile 7 (n =87)"
"100",6,"Renter-occupied housing",0.0120349186081928,"Housing conditions and resources","Profile 7 (n =87)"
"101",6,"No vehicle",0.253483315228916,"Housing conditions and resources","Profile 7 (n =87)"
"102",6,"Hispanic/Latino",0.290434525373494,"Sociocultural diversity","Profile 7 (n =87)"
"103",6,"NH Black",0.335147886457831,"Sociocultural diversity","Profile 7 (n =87)"
"104",6,"NH Asian",0.301919840771084,"Sociocultural diversity","Profile 7 (n =87)"
"105",6,"Crowded housing",0.442069835662651,"Housing conditions and resources","Profile 7 (n =87)"
"106",6,"Below 150% poverty",0.710504864626506,"Economic security","Profile 7 (n =87)"
"107",6,"Working class",0.658536280481928,"Economic security","Profile 7 (n =87)"
"108",6,"Lack complete plumbing",0.334715706722892,"Housing conditions and resources","Profile 7 (n =87)"
"109",7,"Median income",0.677494203855422,"Economic security","Profile 4 (n=142)"
"110",7,"Female household",0.243261089638554,"Economic security","Profile 4 (n=142)"
"111",7,"< HS",0.257683401590361,"Educational attainment","Profile 4 (n=142)"
"112",7," >= HS",0.64887310939759,"Educational attainment","Profile 4 (n=142)"
"113",7," >= Bacherlors",0.160813456638554,"Educational attainment","Profile 4 (n=142)"
"114",7,"Limited EN Proficiency",0.0245413973136627,"Sociocultural diversity","Profile 4 (n=142)"
"115",7,"Unemployment",0.378636867228916,"Economic security","Profile 4 (n=142)"
"116",7,"SNAP benefits",0.209400820289157,"Economic security","Profile 4 (n=142)"
"117",7,"Owner-occupied housing",0.993104528674699,"Housing conditions and resources","Profile 4 (n=142)"
"118",7,"Renter-occupied housing",0.00774093508727229,"Housing conditions and resources","Profile 4 (n=142)"
"119",7,"No vehicle",0.0643759725084337,"Housing conditions and resources","Profile 4 (n=142)"
"120",7,"Hispanic/Latino",0.117944097542169,"Sociocultural diversity","Profile 4 (n=142)"
"121",7,"NH Black",0.148400551277108,"Sociocultural diversity","Profile 4 (n=142)"
"122",7,"NH Asian",0.107712365204819,"Sociocultural diversity","Profile 4 (n=142)"
"123",7,"Crowded housing",0.237528321927711,"Housing conditions and resources","Profile 4 (n=142)"
"124",7,"Below 150% poverty",0.0854780970361446,"Economic security","Profile 4 (n=142)"
"125",7,"Working class",0.809494305783133,"Economic security","Profile 4 (n=142)"
"126",7,"Lack complete plumbing",0.23677543253012,"Housing conditions and resources","Profile 4 (n=142)"
"127",8,"Median income",0.836221264096386,"Economic security","Profile 3 (n = 185)"
"128",8,"Female household",0.273705497590361,"Economic security","Profile 3 (n = 185)"
"129",8,"< HS",0.205157096626506,"Educational attainment","Profile 3 (n = 185)"
"130",8," >= HS",0.975280657108434,"Educational attainment","Profile 3 (n = 185)"
"131",8," >= Bacherlors",0.987147847228916,"Educational attainment","Profile 3 (n = 185)"
"132",8,"Limited EN Proficiency",0.519475446024096,"Sociocultural diversity","Profile 3 (n = 185)"
"133",8,"Unemployment",0.334762450120482,"Economic security","Profile 3 (n = 185)"
"134",8,"SNAP benefits",0.190746887710843,"Economic security","Profile 3 (n = 185)"
"135",8,"Owner-occupied housing",0.00630974129877349,"Housing conditions and resources","Profile 3 (n = 185)"
"136",8,"Renter-occupied housing",0.99381883253012,"Housing conditions and resources","Profile 3 (n = 185)"
"137",8,"No vehicle",0.764572995421687,"Housing conditions and resources","Profile 3 (n = 185)"
"138",8,"Hispanic/Latino",0.512775796626506,"Sociocultural diversity","Profile 3 (n = 185)"
"139",8,"NH Black",0.583082124096385,"Sociocultural diversity","Profile 3 (n = 185)"
"140",8,"NH Asian",0.834246689156626,"Sociocultural diversity","Profile 3 (n = 185)"
"141",8,"Crowded housing",0.589327300722892,"Housing conditions and resources","Profile 3 (n = 185)"
"142",8,"Below 150% poverty",0.371977436626506,"Economic security","Profile 3 (n = 185)"
"143",8,"Working class",0.0425764955590361,"Economic security","Profile 3 (n = 185)"
"144",8,"Lack complete plumbing",0.246217178795181,"Housing conditions and resources","Profile 3 (n = 185)"
