"","level","Overall","cluster1 ","cluster2 ","cluster3 ","cluster4 ","cluster5 ","cluster6 ","cluster7 ","cluster8 ","p","test"
"chemo_yn (%)","No"," 2802 (89.8) ","188 ( 6.7) ","566 (20.2) ","292 (10.4) ","204 ( 7.3) ","376 (13.4) ","861 (30.7) ","46 (1.6) ","269 ( 9.6) "," 0.081",""
"","Yes","  317 (10.2) "," 26 ( 8.2) "," 65 (20.5) "," 39 (12.3) "," 13 ( 4.1) "," 44 (13.9) "," 89 (28.1) "," 1 (0.3) "," 40 (12.6) ","",""
"FIGOStage (%)","Stage I"," 2561 (82.1) ","172 ( 6.7) ","514 (20.1) ","267 (10.4) ","184 ( 7.2) ","350 (13.7) ","791 (30.9) ","44 (1.7) ","239 ( 9.3) "," 0.054",""
"","Stage II","  386 (12.4) "," 24 ( 6.2) "," 72 (18.7) "," 46 (11.9) "," 26 ( 6.7) "," 49 (12.7) ","117 (30.3) "," 2 (0.5) "," 50 (13.0) ","",""
"","Stage III","   72 ( 2.3) "," 11 (15.3) "," 18 (25.0) ","  9 (12.5) ","  2 ( 2.8) "," 12 (16.7) "," 15 (20.8) "," 0 (0.0) ","  5 ( 6.9) ","",""
"","Stage IV","  100 ( 3.2) ","  7 ( 7.0) "," 27 (27.0) ","  9 ( 9.0) ","  5 ( 5.0) ","  9 ( 9.0) "," 27 (27.0) "," 1 (1.0) "," 15 (15.0) ","",""
"Grade_cat (%)","Grade I"," 1478 (47.4) ","103 ( 7.0) ","309 (20.9) ","151 (10.2) ","110 ( 7.4) ","214 (14.5) ","451 (30.5) ","23 (1.6) ","117 ( 7.9) "," 0.182",""
"","Grade II"," 1082 (34.7) "," 71 ( 6.6) ","216 (20.0) ","113 (10.4) "," 73 ( 6.7) ","129 (11.9) ","336 (31.1) ","15 (1.4) ","129 (11.9) ","",""
"","Grade III","  559 (17.9) "," 40 ( 7.2) ","106 (19.0) "," 67 (12.0) "," 34 ( 6.1) "," 77 (13.8) ","163 (29.2) "," 9 (1.6) "," 63 (11.3) ","",""
"facility_type1_cat_1 (%)","Academic Medical Centers"," 1194 (38.3) ","121 (10.1) ","238 (19.9) ","101 ( 8.5) "," 82 ( 6.9) ","136 (11.4) ","367 (30.7) ","14 (1.2) ","135 (11.3) ","<0.001",""
"","Community"," 1253 (40.2) "," 46 ( 3.7) ","264 (21.1) ","152 (12.1) "," 83 ( 6.6) ","189 (15.1) ","414 (33.0) ","24 (1.9) "," 81 ( 6.5) ","",""
"","Specialty","   41 ( 1.3) ","  1 ( 2.4) ","  8 (19.5) ","  2 ( 4.9) ","  4 ( 9.8) ","  3 ( 7.3) "," 17 (41.5) "," 0 (0.0) ","  6 (14.6) ","",""
"","Teaching","  623 (20.0) "," 45 ( 7.2) ","119 (19.1) "," 75 (12.0) "," 48 ( 7.7) "," 92 (14.8) ","148 (23.8) "," 9 (1.4) "," 87 (14.0) ","",""
"",NA,"    8 ( 0.3) ","  1 (12.5) ","  2 (25.0) ","  1 (12.5) ","  0 ( 0.0) ","  0 ( 0.0) ","  4 (50.0) "," 0 (0.0) ","  0 ( 0.0) ","",""
"facility_size1 (%)","Small(< 100)","   57 ( 1.8) ","  2 ( 3.5) "," 11 (19.3) "," 10 (17.5) ","  5 ( 8.8) "," 10 (17.5) "," 17 (29.8) "," 0 (0.0) ","  2 ( 3.5) "," 0.175",""
"","Medium(100-299)","  693 (22.2) "," 41 ( 5.9) ","118 (17.0) "," 74 (10.7) "," 45 ( 6.5) "," 99 (14.3) ","237 (34.2) ","11 (1.6) "," 68 ( 9.8) ","",""
"","Large(300+)"," 2369 (76.0) ","171 ( 7.2) ","502 (21.2) ","247 (10.4) ","167 ( 7.0) ","311 (13.1) ","696 (29.4) ","36 (1.5) ","239 (10.1) ","",""
"facility_docspecialty1 (%)","Family/Internal medicine"," 1206 (38.7) ","101 ( 8.4) ","234 (19.4) ","104 ( 8.6) "," 75 ( 6.2) ","157 (13.0) ","381 (31.6) ","22 (1.8) ","132 (10.9) "," 0.006",""
"","Hematology","   15 ( 0.5) ","  1 ( 6.7) ","  5 (33.3) ","  1 ( 6.7) ","  0 ( 0.0) ","  2 (13.3) ","  5 (33.3) "," 0 (0.0) ","  1 ( 6.7) ","",""
"","Gynecology & obstetrics","  842 (27.0) "," 44 ( 5.2) ","175 (20.8) ","113 (13.4) "," 63 ( 7.5) ","132 (15.7) ","244 (29.0) ","10 (1.2) "," 61 ( 7.2) ","",""
"","Oncology","  423 (13.6) "," 28 ( 6.6) "," 83 (19.6) "," 38 ( 9.0) "," 33 ( 7.8) "," 44 (10.4) ","134 (31.7) "," 7 (1.7) "," 56 (13.2) ","",""
"","Radiology","   71 ( 2.3) ","  3 ( 4.2) "," 15 (21.1) ","  7 ( 9.9) ","  3 ( 4.2) "," 13 (18.3) "," 20 (28.2) "," 0 (0.0) "," 10 (14.1) ","",""
"","missing","  480 (15.4) "," 27 ( 5.6) ","109 (22.7) "," 62 (12.9) "," 38 ( 7.9) "," 61 (12.7) ","138 (28.7) "," 5 (1.0) "," 40 ( 8.3) ","",""
"","other specialty","   82 ( 2.6) "," 10 (12.2) "," 10 (12.2) ","  6 ( 7.3) ","  5 ( 6.1) "," 11 (13.4) "," 28 (34.1) "," 3 (3.7) ","  9 (11.0) ","",""
"optimal_care (%)","Not optimal","  562 (18.0) "," 38 ( 6.8) ","118 (21.0) "," 69 (12.3) "," 32 ( 5.7) "," 79 (14.1) ","158 (28.1) "," 4 (0.7) "," 64 (11.4) "," 0.226",""
"","Optimal"," 2557 (82.0) ","176 ( 6.9) ","513 (20.1) ","262 (10.2) ","185 ( 7.2) ","341 (13.3) ","792 (31.0) ","43 (1.7) ","245 ( 9.6) ","",""
