"","level","Overall","Not optimal","Optimal","p","test"
"Rad_Reg_Rx_Mod_cat (%)","No radiation treatment"," 2400 (76.9) ","327 ( 13.6) "," 2073 (86.4) ","<0.001",""
"","External beam(EBRT)","   30 ( 1.0) "," 12 ( 40.0) ","   18 (60.0) ","",""
"","Brachytherapy","  448 (14.4) "," 11 (  2.5) ","  437 (97.5) ","",""
"","Other","  241 ( 7.7) ","212 ( 88.0) ","   29 (12.0) ","",""
"chemo_yn (%)","No"," 2802 (89.8) ","399 ( 14.2) "," 2403 (85.8) ","<0.001",""
"","Yes","  317 (10.2) ","163 ( 51.4) ","  154 (48.6) ","",""
"FIGOStage (%)","Stage I"," 2561 (82.1) ","199 (  7.8) "," 2362 (92.2) ","<0.001",""
"","Stage II","  386 (12.4) ","305 ( 79.0) ","   81 (21.0) ","",""
"","Stage III","   72 ( 2.3) "," 15 ( 20.8) ","   57 (79.2) ","",""
"","Stage IV","  100 ( 3.2) "," 43 ( 43.0) ","   57 (57.0) ","",""
"Grade_cat (%)","Grade I"," 1478 (47.4) ","168 ( 11.4) "," 1310 (88.6) ","<0.001",""
"","Grade II"," 1082 (34.7) ","187 ( 17.3) ","  895 (82.7) ","",""
"","Grade III","  559 (17.9) ","207 ( 37.0) ","  352 (63.0) ","",""
"facility_type1_cat_1 (%)","Academic Medical Centers"," 1194 (38.3) ","220 ( 18.4) ","  974 (81.6) ","<0.001",""
"","Community"," 1253 (40.2) ","212 ( 16.9) "," 1041 (83.1) ","",""
"","Specialty","   41 ( 1.3) "," 24 ( 58.5) ","   17 (41.5) ","",""
"","Teaching","  623 (20.0) ","103 ( 16.5) ","  520 (83.5) ","",""
"",NA,"    8 ( 0.3) ","  3 ( 37.5) ","    5 (62.5) ","",""
"facility_size1 (%)","Small(< 100)","   57 ( 1.8) "," 14 ( 24.6) ","   43 (75.4) "," 0.408",""
"","Medium(100-299)","  693 (22.2) ","127 ( 18.3) ","  566 (81.7) ","",""
"","Large(300+)"," 2369 (76.0) ","421 ( 17.8) "," 1948 (82.2) ","",""
"facility_docspecialty1 (%)","Family/Internal medicine"," 1206 (38.7) ","214 ( 17.7) ","  992 (82.3) ","<0.001",""
"","Hematology","   15 ( 0.5) ","  4 ( 26.7) ","   11 (73.3) ","",""
"","Gynecology & obstetrics","  842 (27.0) ","114 ( 13.5) ","  728 (86.5) ","",""
"","Oncology","  423 (13.6) "," 85 ( 20.1) ","  338 (79.9) ","",""
"","Radiology","   71 ( 2.3) "," 24 ( 33.8) ","   47 (66.2) ","",""
"","missing","  480 (15.4) ","108 ( 22.5) ","  372 (77.5) ","",""
"","other specialty","   82 ( 2.6) "," 13 ( 15.9) ","   69 (84.1) ","",""
"ClusterAssignment (%)","cluster1 ","  214 ( 6.9) "," 38 ( 17.8) ","  176 (82.2) "," 0.226",""
"","cluster2 ","  631 (20.2) ","118 ( 18.7) ","  513 (81.3) ","",""
"","cluster3 ","  331 (10.6) "," 69 ( 20.8) ","  262 (79.2) ","",""
"","cluster4 ","  217 ( 7.0) "," 32 ( 14.7) ","  185 (85.3) ","",""
"","cluster5 ","  420 (13.5) "," 79 ( 18.8) ","  341 (81.2) ","",""
"","cluster6 ","  950 (30.5) ","158 ( 16.6) ","  792 (83.4) ","",""
"","cluster7 ","   47 ( 1.5) ","  4 (  8.5) ","   43 (91.5) ","",""
"","cluster8 ","  309 ( 9.9) "," 64 ( 20.7) ","  245 (79.3) ","",""
"yostindex (%)","Highest","  732 (23.5) ","125 ( 17.1) ","  607 (82.9) "," 0.415",""
"","High-middle","  670 (21.5) ","110 ( 16.4) ","  560 (83.6) ","",""
"","Middle","  752 (24.1) ","144 ( 19.1) ","  608 (80.9) ","",""
"","Lower-middle","  539 (17.3) "," 96 ( 17.8) ","  443 (82.2) ","",""
"","Lowest","  426 (13.7) "," 87 ( 20.4) ","  339 (79.6) ","",""
