"","level","Overall","Not optimal","Optimal","p","test"
"ClusterAssignment (%)","cluster1 ","  194 ( 5.1) "," 44 ( 22.7) ","  150 ( 77.3) "," 0.043",""
"","cluster2 ","  644 (17.0) ","139 ( 21.6) ","  505 ( 78.4) ","",""
"","cluster3 ","  374 ( 9.9) "," 85 ( 22.7) ","  289 ( 77.3) ","",""
"","cluster4 ","  428 (11.3) "," 99 ( 23.1) ","  329 ( 76.9) ","",""
"","cluster5 ","  446 (11.8) "," 71 ( 15.9) ","  375 ( 84.1) ","",""
"","cluster6 ","  826 (21.8) ","148 ( 17.9) ","  678 ( 82.1) ","",""
"","cluster7 ","  225 ( 5.9) "," 44 ( 19.6) ","  181 ( 80.4) ","",""
"","cluster8 ","  427 (11.3) "," 72 ( 16.9) ","  355 ( 83.1) ","",""
"","cluster9 ","  223 ( 5.9) "," 47 ( 21.1) ","  176 ( 78.9) ","",""
"yostindex (%)","Highest","  872 (23.0) ","170 ( 19.5) ","  702 ( 80.5) "," 0.092",""
"","High-middle","  790 (20.9) ","142 ( 18.0) ","  648 ( 82.0) ","",""
"","Middle","  881 (23.3) ","164 ( 18.6) ","  717 ( 81.4) ","",""
"","Lower-middle","  727 (19.2) ","150 ( 20.6) ","  577 ( 79.4) ","",""
"","Lowest","  517 (13.7) ","123 ( 23.8) ","  394 ( 76.2) ","",""
