"","level","Overall","Not optimal","Optimal","p","test"
"FIGOStage (%)","Stage I"," 2003 (83.0) ","187 (  9.3) "," 1816 (90.7) ","<0.001",""
"","Stage II","  236 ( 9.8) ","182 ( 77.1) ","   54 (22.9) ","",""
"","Stage III","   76 ( 3.2) "," 14 ( 18.4) ","   62 (81.6) ","",""
"","Stage IV","   97 ( 4.0) "," 44 ( 45.4) ","   53 (54.6) ","",""
"Grade_cat (%)","Grade I"," 1166 (48.3) ","116 (  9.9) "," 1050 (90.1) ","<0.001",""
"","Grade II","  803 (33.3) ","133 ( 16.6) ","  670 (83.4) ","",""
"","Grade III","  443 (18.4) ","178 ( 40.2) ","  265 (59.8) ","",""
"facility_type1_cat_1 (%)","Academic Medical Centers","  943 (39.1) ","175 ( 18.6) ","  768 (81.4) ","<0.001",""
"","Community","  822 (34.1) ","129 ( 15.7) ","  693 (84.3) ","",""
"","Specialty","   31 ( 1.3) "," 16 ( 51.6) ","   15 (48.4) ","",""
"","Teaching","  556 (23.1) "," 87 ( 15.6) ","  469 (84.4) ","",""
"",NA,"   60 ( 2.5) "," 20 ( 33.3) ","   40 (66.7) ","",""
"facility_size1 (%)","Small(< 100)","   61 ( 2.5) "," 22 ( 36.1) ","   39 (63.9) ","<0.001",""
"","Medium(100-299)","  526 (21.8) "," 76 ( 14.4) ","  450 (85.6) ","",""
"","Large(300+)"," 1825 (75.7) ","329 ( 18.0) "," 1496 (82.0) ","",""
"facility_docspecialty1 (%)","Family/Internal medicine"," 1118 (46.4) ","185 ( 16.5) ","  933 (83.5) ","<0.001",""
"","Hematology","   24 ( 1.0) "," 12 ( 50.0) ","   12 (50.0) ","",""
"","Gynecology & obstetrics","  482 (20.0) "," 75 ( 15.6) ","  407 (84.4) ","",""
"","Oncology","  348 (14.4) "," 43 ( 12.4) ","  305 (87.6) ","",""
"","Radiology","   64 ( 2.7) "," 19 ( 29.7) ","   45 (70.3) ","",""
"","missing","  324 (13.4) "," 85 ( 26.2) ","  239 (73.8) ","",""
"","other specialty","   52 ( 2.2) ","  8 ( 15.4) ","   44 (84.6) ","",""
"nsdoh_profiles (%)","profile1 ","  952 (39.5) ","158 ( 16.6) ","  794 (83.4) "," 0.474",""
"","profile2 ","  439 (18.2) "," 88 ( 20.0) ","  351 (80.0) ","",""
"","profile3 ","  494 (20.5) "," 84 ( 17.0) ","  410 (83.0) ","",""
"","profile4 ","  340 (14.1) "," 59 ( 17.4) ","  281 (82.6) ","",""
"","profile5 ","  187 ( 7.8) "," 38 ( 20.3) ","  149 (79.7) ","",""
