"","level","Overall","Not optimal","Optimal","p","test"
"","Surgery and chemo","  440 ( 4.7) ","  244 ( 55.5) ","  196 (44.5) ","",""
"","All three","  401 ( 4.3) ","  150 ( 37.4) ","  251 (62.6) ","",""
"type_surg_received (%)","None","  343 ( 3.7) ","  343 (100.0) ","    0 ( 0.0) ","<0.001",""
"","Tumor destruction","    4 ( 0.0) ","    1 ( 25.0) ","    3 (75.0) ","",""
"","Resection"," 8950 (96.1) "," 1376 ( 15.4) "," 7574 (84.6) ","",""
"","Other/Unknown","   21 ( 0.2) ","   18 ( 85.7) ","    3 (14.3) ","",""
"radiation_yn (%)","No"," 7160 (76.8) ","  772 ( 10.8) "," 6388 (89.2) ","<0.001",""
"","Yes"," 2158 (23.2) ","  966 ( 44.8) "," 1192 (55.2) ","",""
"Rad_Reg_Rx_Mod_cat (%)","No radiation treatment"," 7160 (76.8) ","  772 ( 10.8) "," 6388 (89.2) ","<0.001",""
"","External beam(EBRT)","  141 ( 1.5) ","   66 ( 46.8) ","   75 (53.2) ","",""
"","Brachytherapy"," 1242 (13.3) ","  226 ( 18.2) "," 1016 (81.8) ","",""
"","Other","  775 ( 8.3) ","  674 ( 87.0) ","  101 (13.0) ","",""
"chemo_yn (%)","No"," 8412 (90.3) "," 1279 ( 15.2) "," 7133 (84.8) ","<0.001",""
"","Yes","  906 ( 9.7) ","  459 ( 50.7) ","  447 (49.3) ","",""
"FIGOStage (%)","Stage I"," 7732 (83.0) ","  843 ( 10.9) "," 6889 (89.1) ","<0.001",""
"","Stage II"," 1063 (11.4) ","  708 ( 66.6) ","  355 (33.4) ","",""
"","Stage III","  215 ( 2.3) ","   52 ( 24.2) ","  163 (75.8) ","",""
"","Stage IV","  308 ( 3.3) ","  135 ( 43.8) ","  173 (56.2) ","",""
"Grade_cat (%)","Grade I"," 4321 (46.4) ","  517 ( 12.0) "," 3804 (88.0) ","<0.001",""
"","Grade II"," 3315 (35.6) ","  622 ( 18.8) "," 2693 (81.2) ","",""
"","Grade III"," 1682 (18.1) ","  599 ( 35.6) "," 1083 (64.4) ","",""
"facility_type1_cat_1 (%)","Academic Medical Centers"," 3449 (37.0) ","  614 ( 17.8) "," 2835 (82.2) ","<0.001",""
"","Community"," 3712 (39.8) ","  698 ( 18.8) "," 3014 (81.2) ","",""
"","Specialty","  117 ( 1.3) ","   58 ( 49.6) ","   59 (50.4) ","",""
"","Teaching"," 1957 (21.0) ","  341 ( 17.4) "," 1616 (82.6) ","",""
"",NA,"   83 ( 0.9) ","   27 ( 32.5) ","   56 (67.5) ","",""
"facility_size1 (%)","Small(< 100)","  221 ( 2.4) ","   60 ( 27.1) ","  161 (72.9) "," 0.004",""
"","Medium(100-299)"," 2181 (23.4) ","  409 ( 18.8) "," 1772 (81.2) ","",""
"","Large(300+)"," 6916 (74.2) "," 1269 ( 18.3) "," 5647 (81.7) ","",""
"facility_docspecialty1 (%)","Family/Internal medicine"," 3696 (39.7) ","  641 ( 17.3) "," 3055 (82.7) ","<0.001",""
"","Hematology","   82 ( 0.9) ","   33 ( 40.2) ","   49 (59.8) ","",""
"","Gynecology & obstetrics"," 2358 (25.3) ","  373 ( 15.8) "," 1985 (84.2) ","",""
"","Oncology"," 1398 (15.0) ","  262 ( 18.7) "," 1136 (81.3) ","",""
"","Radiology","  232 ( 2.5) ","  101 ( 43.5) ","  131 (56.5) ","",""
"","missing"," 1278 (13.7) ","  279 ( 21.8) ","  999 (78.2) ","",""
"","other specialty","  274 ( 2.9) ","   49 ( 17.9) ","  225 (82.1) ","",""
